sex; entity; period; age-group; c1yr; rs1yr; LL_rs1yr;UL_rs1yr;i_1yr; c5yr; rs5yr; LL_rs5yr; UL_rs5yr;i_5yr; c10yr; rs10yr; LL_rs10yr; UL_rs10yr;i_10yr;
2 ;10 ;1976 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;0 ;  0; 99; 96;101;. ;  0; 88; 82; 95;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;1 ;  0;100;100;100;1 ;  0; 91; 72; 98;1 ;  0; * ; * ; * ;.
2 ;10 ;1981 ;2 ;  0;100;100;100;1 ;  0; 91; 72; 98;1 ;  0; * ; * ; * ;.
2 ;10 ;1981 ;3 ;  0;101;101;101;. ;  0; 98; 81;104;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;4 ;  0; 99; 90;102;. ;  0; 89; 74;100;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;5 ;  0; 89; 71;100;. ;  0; 64; 36; 93;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;0 ;  0;100; 97;102;. ;  0; 96; 90;102;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;1 ;  0;100;100;100;1 ;  0; 96; 80;100;1 ;  0; * ; * ; * ;.
2 ;10 ;1986 ;2 ;  0;100;100;100;1 ;  0; 96; 80;100;1 ;  0; * ; * ; * ;.
2 ;10 ;1986 ;3 ;  0; 97; 77;101;. ;  0; 99; 78;105;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;4 ;  0;101; 92;103;. ;  0; 95; 80;105;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;5 ;  0;101; 87;107;. ;  0; 91; 64;114;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1991 ;0 ;  0; 98; 96;101;. ;  0; 85; 78; 92;. ;  0; * ; * ; * ;.
2 ;10 ;1991 ;1 ;  0;100;100;100;1 ;  0; 96; 81;100;1 ;  0; * ; * ; * ;.
2 ;10 ;1991 ;2 ;  0;100;100;100;1 ;  0; 96; 81;100;1 ;  0; * ; * ; * ;.
2 ;10 ;1991 ;3 ;  0; 96; 82;100;. ;  0; 82; 65; 93;. ;  0; * ; * ; * ;.
2 ;10 ;1991 ;4 ;  0;100; 91;102;. ;  0; 79; 64; 91;. ;  0; * ; * ; * ;.
2 ;10 ;1991 ;5 ;  0; 96; 82;103;. ;  0; 77; 53;100;. ;  0; * ; * ; * ;.
2 ;10 ;1991 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1996 ;0 ;  0; 99; 98;101;. ;  0; 97; 92;102;. ;  0; * ; * ; * ;.
2 ;10 ;1996 ;1 ;  0; 98; 87;100;1 ;  0; 98; 87;101;1 ;  0; * ; * ; * ;.
2 ;10 ;1996 ;2 ;  0; 98; 87;100;1 ;  0; 98; 87;101;1 ;  0; * ; * ; * ;.
2 ;10 ;1996 ;3 ;  0;101;101;101;. ;  0;100; 85;104;. ;  0; * ; * ; * ;.
2 ;10 ;1996 ;4 ;  0;100; 91;102;. ;  0; 96; 82;105;. ;  0; * ; * ; * ;.
2 ;10 ;1996 ;5 ;  0; 98; 88;103;. ;  0; 91; 72;107;. ;  0; * ; * ; * ;.
2 ;10 ;1996 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;2001 ;0 ;  0; 99; 97;101;. ;  0; 93; 88; 98;. ;  0; * ; * ; * ;.
2 ;10 ;2001 ;1 ;  0;100;100;100;1 ;  0; 97; 84;100;1 ;  0; * ; * ; * ;.
2 ;10 ;2001 ;2 ;  0;100;100;100;1 ;  0; 97; 84;100;1 ;  0; * ; * ; * ;.
2 ;10 ;2001 ;3 ;  0; 97; 87;100;. ;  0; 92; 78; 99;. ;  0; * ; * ; * ;.
2 ;10 ;2001 ;4 ;  0;100; 92;102;. ;  0; 92; 79;100;. ;  0; * ; * ; * ;.
2 ;10 ;2001 ;5 ;  0; 97; 87;102;. ;  0; 89; 70;106;. ;  0; * ; * ; * ;.
2 ;10 ;2001 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;2006 ;0 ;  0; 99; 97;101;. ;  0; 92; 87; 97;. ;  0; * ; * ; * ;.
2 ;10 ;2006 ;1 ;  0;100;100;100;1 ;  0; 95; 76;100;1 ;  0; * ; * ; * ;.
2 ;10 ;2006 ;2 ;  0;100;100;100;1 ;  0; 95; 76;100;1 ;  0; * ; * ; * ;.
2 ;10 ;2006 ;3 ;  0; 97; 87;100;. ;  0; 95; 83;101;. ;  0; * ; * ; * ;.
2 ;10 ;2006 ;4 ;  0;101; 94;102;. ;  0; 90; 78; 99;. ;  0; * ; * ; * ;.
2 ;10 ;2006 ;5 ;  0; 95; 85;101;. ;  0; 83; 63;100;. ;  0; * ; * ; * ;.
2 ;10 ;2006 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;2011 ;0 ;  0; 98; 97;100;. ;  0; 93; 89; 97;. ;  0; * ; * ; * ;.
2 ;10 ;2011 ;1 ;  0;100;100;100;1 ;  0; 96; 82;100;1 ;  0; * ; * ; * ;.
2 ;10 ;2011 ;2 ;  0;100;100;100;1 ;  0; 96; 82;100;1 ;  0; * ; * ; * ;.
2 ;10 ;2011 ;3 ;  0; 97; 88; 99;. ;  0; 95; 87;100;. ;  0; * ; * ; * ;.
2 ;10 ;2011 ;4 ;  0;101; 95;102;. ;  0; 90; 81; 97;. ;  0; * ; * ; * ;.
2 ;10 ;2011 ;5 ;  0; 92; 83; 98;. ;  0; 86; 70;100;. ;  0; * ; * ; * ;.
2 ;10 ;2011 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1966 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1966 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1966 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
