sex; entity; period; age-group; c1yr; rs1yr; LL_rs1yr;UL_rs1yr;i_1yr; c5yr; rs5yr; LL_rs5yr; UL_rs5yr;i_5yr; c10yr; rs10yr; LL_rs10yr; UL_rs10yr;i_10yr;
1 ;20 ;2001 ;0 ;  0; 69; 65; 73;. ;  0; 41; 36; 46;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;1 ;  0; 77; 68; 84;. ;  0; 51; 42; 60;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;2 ;  0; 71; 66; 77;. ;  0; 41; 35; 47;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;3 ;  0; 73; 66; 78;. ;  0; 41; 34; 47;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;4 ;  0; 66; 57; 74;. ;  0; 44; 34; 54;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;5 ;  0; 57; 38; 73;. ;  0; 27; 10; 53;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;0 ;  0; 74; 70; 77;. ;  0; 47; 42; 52;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;1 ;  0; 85; 78; 90;. ;  0; 52; 43; 60;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;2 ;  0; 78; 73; 83;. ;  0; 48; 42; 53;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;3 ;  0; 77; 72; 81;. ;  0; 49; 43; 55;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;4 ;  0; 70; 62; 77;. ;  0; 45; 36; 55;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;5 ;  0; 60; 44; 73;. ;  0; 41; 23; 62;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;2011 ;0 ;  0; 80; 77; 83;. ;  0; 50; 46; 54;. ;  0; * ; * ; * ;.
1 ;20 ;2011 ;1 ;  0; 97; 91; 99;. ;  0; 62; 54; 69;. ;  0; * ; * ; * ;.
1 ;20 ;2011 ;2 ;  0; 85; 80; 89;. ;  0; 50; 45; 55;. ;  0; * ; * ; * ;.
1 ;20 ;2011 ;3 ;  0; 80; 76; 84;. ;  0; 48; 44; 53;. ;  0; * ; * ; * ;.
1 ;20 ;2011 ;4 ;  0; 77; 71; 83;. ;  0; 48; 40; 56;. ;  0; * ; * ; * ;.
1 ;20 ;2011 ;5 ;  0; 63; 49; 75;. ;  0; 45; 30; 61;. ;  0; * ; * ; * ;.
1 ;20 ;2011 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1966 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1966 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1966 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1966 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1966 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1966 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1966 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1971 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1971 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1971 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1971 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1971 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1971 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1971 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1976 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;20 ;1976 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
